Data Source,World Development Indicators,,Removed all years except indicated,,,,,,,
,,,,,,,,,,
Last Updated Date,6/30/21,,,,,,,,,
,,,,,,,,,,
"Korea, Dem. People's Rep.",PRK,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Portugal,PRT,GNI per capita (constant LCU),NY.GNP.PCAP.KN,16529.63082,16631.04012,16884.64991,17322.30863,17989.99433,18515.26853,17312.14872
Paraguay,PRY,GNI per capita (constant LCU),NY.GNP.PCAP.KN,25236976.99,26313504.04,26704932.18,27393196.29,28547413.32,29082729.23,27213125.34
West Bank and Gaza,PSE,GNI per capita (constant LCU),NY.GNP.PCAP.KN,3589.994853,3567.250271,3673.176128,3916.731172,3910.293798,3987.206645,3774.108811
Pacific island small states,PSS,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Post-demographic dividend,PST,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
French Polynesia,PYF,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Qatar,QAT,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Romania,ROU,GNI per capita (constant LCU),NY.GNP.PCAP.KN,17520.77095,18423.58504,18930.36405,19871.66268,21426.53978,22405.7919,19763.11907
Russian Federation,RUS,GNI per capita (constant LCU),NY.GNP.PCAP.KN,579776.1574,575025.4598,566856.3937,567486.6475,577453.813,594474.311,576845.4637
Rwanda,RWA,GNI per capita (constant LCU),NY.GNP.PCAP.KN,549706.0847,565711.2763,602613.3782,616914.4967,621977.5377,654920.4261,601973.8666
South Asia,SAS,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Saudi Arabia,SAU,GNI per capita (constant LCU),NY.GNP.PCAP.KN,80024.9008,80839.62652,82038.7222,81313.17573,78628.17506,78763.3321,80267.98874
Sudan,SDN,GNI per capita (constant LCU),NY.GNP.PCAP.KN,756.7238424,823.5278799,834.7949643,848.1775794,862.9941159,860.7665036,831.1641476
Senegal,SEN,GNI per capita (constant LCU),NY.GNP.PCAP.KN,656578.8238,676451.8432,697214.671,717470.6592,747885.7151,774423.9478,711670.9434
Singapore,SGP,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Solomon Islands,SLB,GNI per capita (constant LCU),NY.GNP.PCAP.KN,16194.98202,15724.0657,15397.50748,15661.16322,16259.79792,16588.41667,15970.98884
Sierra Leone,SLE,GNI per capita (constant LCU),NY.GNP.PCAP.KN,1480852.342,1491759.07,1166954.714,1094597.864,1212869.588,1169651.765,1269447.557
El Salvador,SLV,GNI per capita (constant LCU),NY.GNP.PCAP.KN,3382.59087,3424.560025,3483.056911,3533.859732,3581.30127,3648.524142,3508.982158
San Marino,SMR,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Somalia,SOM,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Serbia,SRB,GNI per capita (constant LCU),NY.GNP.PCAP.KN,577769.4098,571698.3304,579932.786,596920.7455,606461.6536,646550.0296,596555.4925
Sub-Saharan Africa (excluding high income),SSA,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
South Sudan,SSD,GNI per capita (constant LCU),NY.GNP.PCAP.KN,1583.9486,1358.310406,1258.200764,,,,1400.153257
Sub-Saharan Africa,SSF,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Small states,SST,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Sao Tome and Principe,STP,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Suriname,SUR,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Slovak Republic,SVK,GNI per capita (constant LCU),NY.GNP.PCAP.KN,13596.85077,13892.38957,14349.64317,14722.49675,15108.663,,14334.00865
Slovenia,SVN,GNI per capita (constant LCU),NY.GNP.PCAP.KN,17719.52103,18267.22423,18247.52378,18920.77784,19967.66321,20807.9333,18988.44057
Sweden,SWE,GNI per capita (constant LCU),NY.GNP.PCAP.KN,422979.8795,429372.4742,438248.5443,440769.4079,451149.3634,455280.5833,439633.3754
Eswatini,SWZ,GNI per capita (constant LCU),NY.GNP.PCAP.KN,33696.20951,33752.6171,34318.63135,33821.16281,33699.79514,33996.72097,33880.85615
Sint Maarten (Dutch part),SXM,GNI per capita (constant LCU),NY.GNP.PCAP.KN,47184.333,45843.61183,44875.97926,44124.4131,40114.93578,37446.91404,43265.03117
Seychelles,SYC,GNI per capita (constant LCU),NY.GNP.PCAP.KN,77455.38783,78402.49398,80515.35173,81949.60458,84652.19051,,80595.00573
Syrian Arab Republic,SYR,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Turks and Caicos Islands,TCA,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Chad,TCD,GNI per capita (constant LCU),NY.GNP.PCAP.KN,368369.3122,382267.6703,387772.4587,356084.5042,336710.188,333887.6303,360848.6273
East Asia & Pacific (IDA & IBRD countries),TEA,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Europe & Central Asia (IDA & IBRD countries),TEC,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Togo,TGO,GNI per capita (constant LCU),NY.GNP.PCAP.KN,437114.6826,452878.8154,477150.5731,479393.1759,484864.7235,497657.6187,471509.9315
Thailand,THA,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Tajikistan,TJK,GNI per capita (constant LCU),NY.GNP.PCAP.KN,681.0939734,,,,,,681.0939734
Turkmenistan,TKM,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Latin America & the Caribbean (IDA & IBRD countries),TLA,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Timor-Leste,TLS,GNI per capita (constant LCU),NY.GNP.PCAP.KN,3599.282607,2897.236763,2334.365965,1834.817695,1814.859373,1767.001268,2374.593945
Middle East & North Africa (IDA & IBRD countries),TMN,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Tonga,TON,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
South Asia (IDA & IBRD),TSA,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Sub-Saharan Africa (IDA & IBRD countries),TSS,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Trinidad and Tobago,TTO,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Tunisia,TUN,GNI per capita (constant LCU),NY.GNP.PCAP.KN,5779.254758,5942.676085,5974.493985,5997.312587,6029.848443,6081.177396,5967.460542
Turkey,TUR,GNI per capita (constant LCU),NY.GNP.PCAP.KN,18007.83795,18583.27037,19339.04575,19667.40094,20762.53541,21009.029,19561.5199
Tuvalu,TUV,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Tanzania,TZA,GNI per capita (constant LCU),NY.GNP.PCAP.KN,1741761.609,1802168.96,1851839.466,1913604.797,1982462.288,2048551.433,1890064.759
Uganda,UGA,GNI per capita (constant LCU),NY.GNP.PCAP.KN,2483889.5,2520927.03,2570998.645,2589728.409,2574043.567,2619657.179,2559874.055
Ukraine,UKR,GNI per capita (constant LCU),NY.GNP.PCAP.KN,59833.82875,59448.96427,53802.58474,55340.28696,58898.95024,61394.87489,58119.91498
Upper middle income,UMC,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Uruguay,URY,GNI per capita (constant LCU),NY.GNP.PCAP.KN,458408.4583,465901.2616,475556.5166,480748.567,482076.6254,482000.1604,474115.2649
United States,USA,GNI per capita (constant LCU),NY.GNP.PCAP.KN,55348.43535,56333.75917,57550.48159,58131.90199,59264.07289,60651.17829,57879.97155
Uzbekistan,UZB,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
St. Vincent and the Grenadines,VCT,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
"Venezuela, RB",VEN,GNI per capita (constant LCU),NY.GNP.PCAP.KN,2006.40722,1966.371245,,,,,1986.389233
British Virgin Islands,VGB,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Virgin Islands (U.S.),VIR,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Vietnam,VNM,GNI per capita (constant LCU),NY.GNP.PCAP.KN,26786819.63,27946173.97,29392739.87,31186464.94,31879440.17,34118229.84,30218311.4
Vanuatu,VUT,GNI per capita (constant LCU),NY.GNP.PCAP.KN,224631.7646,226767.4624,220882.5631,222930.2703,229696.867,235961.3724,226811.7166
World,WLD,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Samoa,WSM,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Kosovo,XKX,GNI per capita (constant LCU),NY.GNP.PCAP.KN,2597.706703,2631.964698,2764.69251,2883.808013,3007.007029,3100.607389,2830.96439
"Yemen, Rep.",YEM,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
South Africa,ZAF,GNI per capita (constant LCU),NY.GNP.PCAP.KN,53924.4777,54036.39857,53942.52334,53200.34828,53048.36664,52655.18389,53467.88307
Zambia,ZMB,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Zimbabwe,ZWE,GNI per capita (constant LCU),NY.GNP.PCAP.KN,1179.073392,1189.545467,1172.045751,1182.51698,1315.248357,1337.526855,1229.326134
