Data Source,World Development Indicators,,Removed all years except indicated,,,,,,,
,,,,,,,,,,
Last Updated Date,6/30/21,,,,,,,,,
,,,,,,,,,,
"Congo, Dem. Rep.",COD,GNI per capita (constant LCU),NY.GNP.PCAP.KN,115898.9794,123368.8579,129742.8745,137081.3358,136360.8984,139952.4237,130400.895
"Congo, Rep.",COG,GNI per capita (constant LCU),NY.GNP.PCAP.KN,1085220.126,1177042.791,1085804.487,920724.0284,779163.0587,698149.1846,957683.946
Colombia,COL,GNI per capita (constant LCU),NY.GNP.PCAP.KN,15497556.67,16130079.87,16693999.69,16868579.12,16710517.62,16745717.1,16441075.01
Comoros,COM,GNI per capita (constant LCU),NY.GNP.PCAP.KN,481861.2791,480935.4824,476387.0578,481635.911,488932.4921,494674.6716,484071.149
Cabo Verde,CPV,GNI per capita (constant LCU),NY.GNP.PCAP.KN,260424.1894,254656.312,257396.939,266622.797,273551.4963,285881.993,266422.2878
Costa Rica,CRI,GNI per capita (constant LCU),NY.GNP.PCAP.KN,5999434.042,6110244.203,6249565.624,6445543.17,6575109.24,6636195.895,6336015.362
Caribbean small states,CSS,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Cuba,CUB,GNI per capita (constant LCU),NY.GNP.PCAP.KN,4524.810589,4556.519743,4752.244715,4764.572649,,,4649.536924
Curacao,CUW,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Cayman Islands,CYM,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Cyprus,CYP,GNI per capita (constant LCU),NY.GNP.PCAP.KN,20159.63825,19709.57981,20880.79228,21367.48596,22432.29019,23190.19315,21289.99661
Czech Republic,CZE,GNI per capita (constant LCU),NY.GNP.PCAP.KN,382630.5701,388408.9334,408507.9554,418415.1646,444266.3537,456988.3943,416536.2286
Germany,DEU,GNI per capita (constant LCU),NY.GNP.PCAP.KN,37000.09669,37550.02636,37890.45674,38505.2819,39314.81063,39821.24722,38346.98659
Djibouti,DJI,GNI per capita (constant LCU),NY.GNP.PCAP.KN,421234.2284,452746.4348,483821.6345,509526.6203,521924.4679,549807.1436,489843.4216
Dominica,DMA,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Denmark,DNK,GNI per capita (constant LCU),NY.GNP.PCAP.KN,359664.1213,365371.633,369292.0734,376034.2689,383166.7686,391705.4172,374205.7137
Dominican Republic,DOM,GNI per capita (constant LCU),NY.GNP.PCAP.KN,173527.0688,183446.5494,195133.2307,205333.4317,211700.5525,225202.8376,199057.2784
Algeria,DZA,GNI per capita (constant LCU),NY.GNP.PCAP.KN,427773.2813,435120.2773,441549.1832,452863.2932,447153.6419,439243.7267,440617.2339
East Asia & Pacific (excluding high income),EAP,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Early-demographic dividend,EAR,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
East Asia & Pacific,EAS,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Europe & Central Asia (excluding high income),ECA,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Europe & Central Asia,ECS,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Ecuador,ECU,GNI per capita (constant LCU),NY.GNP.PCAP.KN,4237.930614,4327.021565,4254.481942,4128.172835,4133.248464,4095.565301,4196.07012
"Egypt, Arab Rep.",EGY,GNI per capita (constant LCU),NY.GNP.PCAP.KN,32718.87705,32991.88298,33914.76352,34777.78855,35282.66588,36190.80345,34312.79691
Euro area,EMU,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Eritrea,ERI,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Spain,ESP,GNI per capita (constant LCU),NY.GNP.PCAP.KN,21809.85451,22245.49731,23196.29448,23943.69386,24546.39313,25069.13772,23468.4785
Estonia,EST,GNI per capita (constant LCU),NY.GNP.PCAP.KN,14676.89047,15085.42554,15452.87124,15932.26941,16759.84898,17510.91221,15903.03631
Ethiopia,ETH,GNI per capita (constant LCU),NY.GNP.PCAP.KN,12315.54068,13197.1212,14154.25361,15086.13164,16052.27165,16722.96154,14588.04672
European Union,EUU,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Fragile and conflict affected situations,FCS,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Finland,FIN,GNI per capita (constant LCU),NY.GNP.PCAP.KN,38952.96918,38876.10805,38956.61873,39727.83976,40735.10881,41359.61524,39768.04329
Fiji,FJI,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
France,FRA,GNI per capita (constant LCU),NY.GNP.PCAP.KN,33352.4383,33491.56471,33748.56976,34015.88037,34740.65001,35247.23439,34099.38959
