jour,citations,OAdes,OAlab,year,auth_count,Volume,Issue,apc_cat,AIS,JCR_quart,field
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,3,Green Accepted,Green,2013,5,433,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,8,Other Gold,Other Gold,2013,10,434,2,lowAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,36,Green Accepted,Green,2013,14,434,2,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,6,Green Accepted,Green,2013,8,434,2,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,44,Green Accepted,Green,2013,9,434,2,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,5,Green Accepted,Green,2013,7,434,2,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,5,Green Accepted,Green,2013,3,434,2,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,10,Green Accepted,Green,2013,7,434,2,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,28,Green Accepted,Green,2013,5,434,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,43,Green Published,Green,2013,3,434,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,12,Green Accepted,Green,2013,2,435,3,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,14,Green Accepted,Green,2013,7,435,3,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,3,Green Accepted,Green,2013,2,435,3,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,39,Green Accepted,Green,2013,5,435,3,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,3,Other Gold,Other Gold,2013,7,435,3,lowAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,34,Green Accepted,Green,2013,7,435,3,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,6,Other Gold,Other Gold,2013,5,435,4,lowAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,10,Green Accepted,Green,2013,3,435,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,3,Green Accepted,Green,2013,2,435,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,2,Other Gold,Other Gold,2013,3,435,4,lowAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,6,Other Gold,Other Gold,2013,2,435,4,lowAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,13,Green Accepted,Green,2013,4,435,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,18,Green Accepted,Green,2013,6,435,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,17,Green Accepted,Green,2013,5,435,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,19,Green Accepted,Green,2013,7,435,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,16,Green Accepted,Green,2013,11,435,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,50,Green Accepted,Green,2013,5,435,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,103,Other Gold,Other Gold,2013,9,435,4,lowAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,10,Green Accepted,Green,2013,6,436,2,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,51,Other Gold,Other Gold,2013,3,436,2,lowAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,23,Green Accepted,Green,2013,9,436,2,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,6,Green Published,Green,2013,5,436,2,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,4,Other Gold,Other Gold,2013,11,436,3,lowAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,2,Other Gold,Other Gold,2013,10,436,3,lowAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,14,Other Gold,Other Gold,2013,4,436,3,lowAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,17,Green Accepted,Green,2013,8,436,3,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,4,Green Accepted,Green,2013,5,436,3,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,9,Other Gold,Other Gold,2013,7,436,3,lowAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,14,Green Published,Green,2013,4,436,3,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,22,Green Accepted,Green,2013,3,436,3,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,11,Green Accepted,Green,2013,10,436,3,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,41,Other Gold,Other Gold,2013,8,436,4,lowAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,4,Green Accepted,Green,2013,7,436,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,11,Green Accepted,Green,2013,7,436,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,14,Green Accepted,Green,2013,5,436,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,4,Green Accepted,Green,2013,9,436,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,5,Green Accepted,Green,2013,5,436,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,3,Green Accepted,Green,2013,8,437,2,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,17,Green Accepted,Green,2013,5,437,2,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,29,Green Accepted,Green,2013,4,437,2,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,38,Other Gold,Other Gold,2013,6,437,2,lowAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,42,Other Gold,Other Gold,2013,18,437,2,lowAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,4,Green Accepted,Green,2013,8,437,2,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,66,Green Accepted,Green,2013,4,437,3,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,7,Green Accepted,Green,2013,4,437,3,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,15,Green Published,Green,2013,9,437,3,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,9,Green Accepted,Green,2013,4,437,3,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,9,Other Gold,Other Gold,2013,5,437,3,lowAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,8,Green Accepted,Green,2013,4,437,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,24,Green Published,Green,2013,4,437,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,6,Green Accepted,Green,2013,6,437,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,17,Green Accepted,Green,2013,4,437,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,3,Green Accepted,Green,2013,6,437,4,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,36,Green Accepted,Green,2013,6,438,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,8,Green Accepted,Green,2013,16,438,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,51,Other Gold,Other Gold,2013,10,438,1,lowAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,13,Green Published,Green,2013,6,438,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,36,Green Accepted,Green,2013,7,438,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,39,Green Accepted,Green,2013,10,438,2,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,12,Green Accepted,Green,2013,14,438,2,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,23,Green Accepted,Green,2013,5,438,2,noAPC,0.599,2,Biochemistry 
