Name,Web of Science Documents,Times Cited,Rank
Biochemistry,452728,4063610,1
Oncology,556162,3427876,2
CellBio,266871,2842919,3
Neuroscience,363080,2480420,4
Microbio_Immun,235241,1719863,5
Genetics_Heredity,166557,1249847,7
PlantBio,177384,1147703,8
BIOLOGY,126262,620564,9
MarineB_E,73544,422470,10
EvoBio,45354,366143,11
Zoology,87921,285694,12
Entomology,43345,187484,13
Mycology,13385,76793,14
