"(Intercept)" "auth_count" "citations" "field" "IF_5Y_2019" "JIFquant" "journal" "OAlab" "publisher" "year" "df" "logLik" "AICc" "delta" "weight"
"494" 3508.48349898473 0.125323433566416 NA "+" 2.65154525380334 NA "+" "+" "+" -1.73856160339744 168 -518503.144529683 1037342.66235343 713.658816860872 6.71176829520852e-157
"382" 3506.82324306615 0.125323433566442 NA "+" 2.65154525247673 "+" "+" "+" NA -1.73856160339735 168 -518503.144529684 1037342.66235343 713.658816861687 6.71176829247378e-157
"510" 3506.82324306615 0.125323433566442 NA "+" 2.65154525247673 "+" "+" "+" "+" -1.73856160339735 168 -518503.144529684 1037342.66235343 713.658816861687 6.71176829247378e-157
"362" 3507.24596009467 0.125323433566436 NA NA 2.65154524605305 NA "+" "+" NA -1.73856160339733 168 -518503.144529684 1037342.66235343 713.658816862269 6.7117682905204e-157
"370" 3510.67705964323 0.125323433566325 NA NA NA "+" "+" "+" NA -1.73856160339738 168 -518503.144529684 1037342.66235343 713.658816862269 6.7117682905204e-157
"490" 3507.24596009467 0.125323433566436 NA NA 2.65154524605305 NA "+" "+" "+" -1.73856160339733 168 -518503.144529684 1037342.66235343 713.658816862269 6.7117682905204e-157
"498" 3510.67705964323 0.125323433566325 NA NA NA "+" "+" "+" "+" -1.73856160339738 168 -518503.144529684 1037342.66235343 713.658816862269 6.7117682905204e-157
"378" 3507.24596009581 0.125323433566355 NA NA 2.65154524505968 "+" "+" "+" NA -1.73856160339721 168 -518503.144529684 1037342.66235343 713.658816862502 6.71176828973905e-157
"506" 3507.24596009581 0.125323433566355 NA NA 2.65154524505968 "+" "+" "+" "+" -1.73856160339721 168 -518503.144529684 1037342.66235343 713.658816862502 6.71176828973905e-157
"354" 3510.677059643 0.12532343356616 NA NA NA NA "+" "+" NA -1.73856160339726 168 -518503.144529685 1037342.66235343 713.658816863317 6.71176828700431e-157
"358" 3515.77524843232 0.125323433566395 NA "+" NA NA "+" "+" NA -1.73856160339726 168 -518503.144529685 1037342.66235343 713.658816863317 6.71176828700431e-157
"482" 3510.677059643 0.12532343356616 NA NA NA NA "+" "+" "+" -1.73856160339726 168 -518503.144529685 1037342.66235343 713.658816863317 6.71176828700431e-157
"486" 3515.77524843232 0.125323433566395 NA "+" NA NA "+" "+" "+" -1.73856160339726 168 -518503.144529685 1037342.66235343 713.658816863317 6.71176828700431e-157
