"(Intercept)" "auth_count" "citations" "field" "IF_5Y_2019" "JIFquant" "journal" "OAlab" "publisher" "year" "df" "logLik" "AICc" "delta" "weight"
"287" 3318.14965353404 NA 0.00267942650584196 "+" 0.264708129973607 "+" NA NA NA -1.64397319490952 19 -522125.27855387 1044288.56209904 7659.55856246711 0
"346" 3449.26582221138 0.124815721763958 NA NA 0.282495955294911 "+" NA "+" NA -1.70861625533357 12 -522153.200178991 1044330.40240695 7701.39887037524 0
"349" 3400.46116716739 NA NA "+" 0.275649640272002 "+" NA "+" NA -1.68449920688346 22 -522159.046314823 1044362.09927608 7733.09573951317 0
"342" 3445.72352519854 0.1444895142427 NA "+" NA "+" NA "+" NA -1.70712740072822 22 -522196.913257095 1044437.83316063 7808.82962405845 0
"403" 3356.07784875137 NA 0.00287109814902903 NA NA "+" NA NA "+" -1.66167061725059 33 -522208.627412262 1044483.26956334 7854.26602677268 0
"284" 3382.06455873562 0.129429621132706 0.00259624987849861 NA 0.277679625626503 "+" NA NA NA -1.67558261691438 9 -522243.049396973 1044504.09997602 7875.0964394469 0
"465" 3415.14817620577 NA NA NA NA "+" NA "+" "+" -1.69062933362589 36 -522382.261745291 1044836.54098835 8207.53745177889 0
"347" 3385.0132885727 NA 0.00266839333068681 NA 0.296281507284206 "+" NA "+" NA -1.67648551800048 12 -522509.341375719 1045042.6848004 8413.68126383249 0
"285" 3343.80918888116 NA NA "+" 0.276395139554631 "+" NA NA NA -1.6567039683015 18 -522505.449414208 1045046.90332055 8417.89978398383 0
"278" 3393.05078795802 0.145610461275786 NA "+" NA "+" NA NA NA -1.68135029297124 18 -522533.674510318 1045103.35351277 8474.34997620399 0
"282" 3407.44151971556 0.13128023396132 NA NA 0.288294186375887 "+" NA NA NA -1.68817619613284 8 -522599.356208024 1045214.7133617 8585.70982512855 0
"401" 3384.19701443292 NA NA NA NA "+" NA NA "+" -1.67561032336378 32 -522646.329960397 1045356.67379253 8727.67025596171 0
"343" 3362.8108707069 NA 0.00294696797275155 "+" NA "+" NA "+" NA -1.66559719892591 22 -522678.254510467 1045400.51566737 8771.51213080157 0
"345" 3410.36866509752 NA NA NA 0.307542178939226 "+" NA "+" NA -1.68906239271094 11 -522884.527178559 1045791.05609085 9162.05255427514 0
"283" 3335.43551004128 NA 0.0026786455541513 NA 0.30385585703699 "+" NA NA NA -1.65220010127997 8 -523031.665676128 1046079.33229791 9450.32876133686 0
"279" 3307.04679331545 NA 0.00296002826813569 "+" NA "+" NA NA NA -1.63826205491548 18 -523023.969646437 1046083.94378501 9454.94024844281 0
"341" 3390.62388178902 NA NA "+" NA "+" NA "+" NA -1.67938011811947 21 -523136.664199151 1046315.33446675 9686.33093017864 0
"464" 3419.0743346986 0.13831616103038 0.00259418739406723 "+" 0.457143873361829 NA NA "+" "+" -1.69287563790547 47 -523245.312732525 1046584.65510305 9955.65156647691 0
"281" 3360.94154756402 NA NA NA 0.315198584517676 "+" NA NA NA -1.66485415903041 7 -523407.162231063 1046828.32519763 10199.321661057 0
"277" 3334.9811376663 NA NA "+" NA "+" NA NA NA -1.65211153177373 17 -523484.379505053 1047002.76302936 10373.7594927899 0
"400" 3361.49681252749 0.140174095948267 0.00260191474710924 "+" 0.460622465195264 NA NA NA "+" -1.66462708781413 43 -523580.100449447 1047246.22575422 10617.2222176509 0
"462" 3444.86260079003 0.140386648396983 NA "+" 0.468426737299187 NA NA "+" "+" -1.70566828905945 46 -523596.306244033 1047284.64089096 10655.6373543909 0
"340" 3416.43628862426 0.151590636621034 0.00311455276867344 NA NA "+" NA "+" NA -1.69213232260462 12 -523635.426935201 1047294.85591937 10665.8523827967 0
"398" 3387.31990168632 0.142245259536574 NA "+" 0.471996953642677 NA NA NA "+" -1.67744031721735 42 -523931.644528771 1047947.31278293 11318.309246356 0
"463" 3370.38345545805 NA 0.00268682850202562 "+" 0.489780099237311 NA NA "+" "+" -1.66838406467152 46 -524079.993927808 1048252.01625851 11623.0127219412 0
"338" 3446.60024162792 0.155165805840525 NA NA NA "+" NA "+" NA -1.70708978722787 11 -524142.38115711 1048306.76404795 11677.7605113782 0
"276" 3377.06040737343 0.159281108091005 0.0031352014288058 NA NA "+" NA NA NA -1.67299083670185 8 -524158.242554717 1048332.48605509 11703.4825185147 0
"399" 3306.76762686042 NA 0.00269578359356136 "+" 0.492694315120676 NA NA NA "+" -1.63707917325417 42 -524435.605242281 1048955.23420995 12326.2306733758 0
"461" 3396.35163503088 NA NA "+" 0.50197839232723 NA NA "+" "+" -1.68126072548832 45 -524452.545335244 1048995.11786457 12366.1143280007 0
"274" 3407.71760829853 0.162922764389753 NA NA NA "+" NA NA NA -1.68819974482506 7 -524668.464307175 1049350.92934985 12721.9258132814 0
"339" 3366.40074145296 NA 0.00327126576578301 NA NA "+" NA "+" NA -1.66696899317799 11 -524712.943264631 1049447.88826299 12818.8847264186 0
"397" 3332.69832066051 NA NA "+" 0.504976684980149 NA NA NA "+" -1.64993979583432 41 -524808.901511121 1049699.82564397 13070.8221074017 0
"456" 3413.60847487551 0.160798945816741 0.00294196425204483 "+" NA NA NA "+" "+" -1.68969904429422 46 -525132.608364705 1050357.2451323 13728.2415957341 0
"337" 3396.87917040003 NA NA NA NA "+" NA "+" NA -1.68207366555796 10 -525264.830768693 1050549.66298215 13920.6594455785 0
"275" 3317.80811230795 NA 0.00330276744667187 NA NA "+" NA NA NA -1.64326851896177 7 -525345.67765678 1050705.35604906 14076.3525124907 0
"460" 3459.14622788279 0.159528296757204 0.00256878296958188 NA 0.454731776761363 NA NA "+" "+" -1.71285925283418 36 -525370.421263043 1050812.86002385 14183.8564872826 0
"336" 3411.70050814682 0.145258167964527 0.00259581545094048 "+" 0.465396377908051 NA NA "+" NA -1.68756311122522 21 -525483.680408323 1051009.36688509 14380.363348522 0
"392" 3363.28244442329 0.162260529066203 0.00295692469748918 "+" NA NA NA NA "+" -1.66524682141517 42 -525502.525518494 1051089.07476237 14460.0712258024 0
"454" 3442.79750721665 0.163786179406903 NA "+" NA NA NA "+" "+" -1.70416563248803 45 -525574.166063697 1051238.35932148 14609.355784907 0
"458" 3484.3240933129 0.161374352941932 NA NA 0.465290876855051 NA NA "+" "+" -1.72535325894834 35 -525705.203326522 1051480.42320488 14851.4196683066 0
"334" 3437.35856355556 0.147350983472369 NA "+" 0.476345579383637 NA NA "+" NA -1.70029181546305 20 -525824.98544456 1051689.97640585 15060.9728692833 0
"273" 3348.71451074427 NA NA NA NA "+" NA NA NA -1.65859315532531 6 -525903.641404975 1051819.28336157 15190.279825002 0
"272" 3356.51400349876 0.147336084226363 0.00261119133818906 "+" 0.478060007818615 NA NA NA NA -1.66072566794525 17 -525967.532774146 1051969.06956755 15340.0660309775 0
"390" 3392.7783720877 0.165244149924222 NA "+" NA NA NA NA "+" -1.67987498863771 41 -525946.452225252 1051974.92707223 15345.923535662 0
"396" 3408.37759341047 0.171359852728613 0.00257166309185133 NA 0.489603752341662 NA NA NA "+" -1.68835973819526 32 -526227.347307524 1052518.70848679 15889.7049502165 0
"455" 3355.87951483768 NA 0.00308013128053445 "+" NA NA NA "+" "+" -1.66062542794462 45 -526243.969164495 1052577.96552307 15948.9619865015 0
"270" 3382.32688812961 0.149440941133195 NA "+" 0.489151523337119 NA NA NA NA -1.67353606472668 16 -526310.717483062 1052653.43853877 16024.4350022015 0
"335" 3356.8594050185 NA 0.00269549695069652 "+" 0.501487955483452 NA NA "+" NA -1.65995911754974 20 -526389.996178313 1052819.99787336 16190.9943367899 0
"459" 3411.87434293479 NA 0.00267047111034685 NA 0.502361687043083 NA NA "+" "+" -1.6890704072194 35 -526509.62160195 1053089.25975573 16460.2562191626 0
"394" 3433.55016739075 0.173213893578275 NA NA 0.500175199594445 NA NA NA "+" -1.70085107076844 31 -526559.132860696 1053180.27875233 16551.2752157634 0
"391" 3299.37267250649 NA 0.0030957196852137 "+" NA NA NA NA "+" -1.63305512085637 41 -526630.656269672 1053343.33516107 16714.3316245035 0
"453" 3385.34226889307 NA NA "+" NA NA NA "+" "+" -1.67521868076426 44 -526721.266825811 1053530.55966318 16901.5561266113 0
"333" 3382.69657819981 NA NA "+" 0.513404167925573 NA NA "+" NA -1.67277072453593 19 -526753.810259513 1053545.62551032 16916.6219737541 0
"457" 3437.49195398564 NA NA NA 0.513917064791268 NA NA "+" "+" -1.70177864286513 34 -526866.173144542 1053800.36192127 17171.3583846972 0
"271" 3297.47105239953 NA 0.00271236804482248 "+" 0.51484006041621 NA NA NA NA -1.63102220266807 16 -526894.764717949 1053821.53300855 17192.5294719758 0
"389" 3329.04839815206 NA NA "+" NA NA NA NA "+" -1.64776289275276 40 -527110.381195185 1054300.78393473 17671.7803981612 0
"269" 3323.42230663513 NA NA "+" 0.526913828770223 NA NA NA NA -1.64389530532902 15 -527260.725528149 1054551.45420861 17922.4506720428 0
"395" 3349.84618099294 NA 0.00268208556700341 NA 0.5441352412385 NA NA NA "+" -1.6590225894943 31 -527535.62772369 1055133.26847832 18504.2649417508 0
"393" 3375.45103711419 NA NA NA 0.555781358821246 NA NA NA "+" -1.67172513339913 30 -527890.48074891 1055840.97371425 19211.9701776775 0
"452" 3472.22445119149 0.201845338660791 0.00308554171721512 NA NA NA NA "+" "+" -1.71843138086703 35 -528223.05110888 1056516.11876959 19887.1152330223 0
"450" 3502.97573623452 0.205259005573498 NA NA NA NA NA "+" "+" -1.73366536796387 34 -528690.092710442 1057448.20105307 20819.1975164972 0
"328" 3405.78319497154 0.189595313978928 0.00323647593051696 "+" NA NA NA "+" NA -1.68395669923552 20 -528990.171273838 1058020.34806441 21391.3445278404 0
"104" 11.8280918220447 0.0983445593212845 0.0031400276262143 "+" NA NA "+" "+" NA NA 168 -529154.444224161 1058645.26174239 22016.2582058157 0
"120" 6.29288148536696 0.0983445593213446 0.00314002762621406 "+" NA "+" "+" "+" NA NA 168 -529154.444224161 1058645.26174239 22016.2582058157 0
"232" 11.8280918220447 0.0983445593212845 0.0031400276262143 "+" NA NA "+" "+" "+" NA 168 -529154.444224161 1058645.26174239 22016.2582058157 0
"248" 6.29288148536696 0.0983445593213446 0.00314002762621406 "+" NA "+" "+" "+" "+" NA 168 -529154.444224161 1058645.26174239 22016.2582058157 0
"100" 6.84053868461004 0.0983445593211992 0.00314002762621434 NA NA NA "+" "+" NA NA 168 -529154.444224161 1058645.26174239 22016.2582058161 0
"116" 6.84053868461158 0.0983445593213057 0.00314002762621406 NA NA "+" "+" "+" NA NA 168 -529154.444224161 1058645.26174239 22016.2582058161 0
"228" 6.84053868461004 0.0983445593211992 0.00314002762621434 NA NA NA "+" "+" "+" NA 168 -529154.444224161 1058645.26174239 22016.2582058161 0
"244" 6.84053868461158 0.0983445593213057 0.00314002762621406 NA NA "+" "+" "+" "+" NA 168 -529154.444224161 1058645.26174239 22016.2582058161 0
"108" 3.53267956142784 0.0983445593215565 0.00314002762621664 NA 2.55630535038874 NA "+" "+" NA NA 168 -529154.444224161 1058645.26174239 22016.2582058168 0
"112" 4.79825211777011 0.0983445593216869 0.00314002762621695 "+" 2.5563053470108 NA "+" "+" NA NA 168 -529154.444224161 1058645.26174239 22016.2582058168 0
"124" 3.53267956296077 0.0983445593214523 0.00314002762621675 NA 2.55630534929578 "+" "+" "+" NA NA 168 -529154.444224161 1058645.26174239 22016.2582058168 0
"128" 3.41959427518448 0.0983445593216252 0.003140027626217 "+" 2.55630534760119 "+" "+" "+" NA NA 168 -529154.444224161 1058645.26174239 22016.2582058168 0
"236" 3.53267956142784 0.0983445593215565 0.00314002762621664 NA 2.55630535038874 NA "+" "+" "+" NA 168 -529154.444224161 1058645.26174239 22016.2582058168 0
"240" 4.79825211777011 0.0983445593216869 0.00314002762621695 "+" 2.5563053470108 NA "+" "+" "+" NA 168 -529154.444224161 1058645.26174239 22016.2582058168 0
"252" 3.53267956296077 0.0983445593214523 0.00314002762621675 NA 2.55630534929578 "+" "+" "+" "+" NA 168 -529154.444224161 1058645.26174239 22016.2582058168 0
"256" 3.41959427518448 0.0983445593216252 0.003140027626217 "+" 2.55630534760119 "+" "+" "+" "+" NA 168 -529154.444224161 1058645.26174239 22016.2582058168 0
"40" 10.6004035810488 0.0977586717178687 0.0031535527572064 "+" NA NA "+" NA NA NA 164 -529277.471432486 1058883.29863673 22254.2951001592 0
"168" 10.6004035810488 0.0977586717178687 0.0031535527572064 "+" NA NA "+" NA "+" NA 164 -529277.471432486 1058883.29863673 22254.2951001592 0
"56" 4.39075345898188 0.097758671717928 0.00315355275720614 "+" NA "+" "+" NA NA NA 164 -529277.471432486 1058883.29863673 22254.2951001599 0
"184" 4.39075345898188 0.097758671717928 0.00315355275720614 "+" NA "+" "+" NA "+" NA 164 -529277.471432486 1058883.29863673 22254.2951001599 0
"36" 5.58822013747259 0.0977586717177681 0.00315355275720647 NA NA NA "+" NA NA NA 164 -529277.471432486 1058883.29863673 22254.2951001604 0
"44" 2.1462597478602 0.0977586717181393 0.00315355275720886 NA 2.6599384774579 NA "+" NA NA NA 164 -529277.471432486 1058883.29863673 22254.2951001604 0
"52" 5.58822013747421 0.0977586717178774 0.00315355275720619 NA NA "+" "+" NA NA NA 164 -529277.471432486 1058883.29863673 22254.2951001604 0
"164" 5.58822013747259 0.0977586717177681 0.00315355275720647 NA NA NA "+" NA "+" NA 164 -529277.471432486 1058883.29863673 22254.2951001604 0
"172" 2.1462597478602 0.0977586717181393 0.00315355275720886 NA 2.6599384774579 NA "+" NA "+" NA 164 -529277.471432486 1058883.29863673 22254.2951001604 0
"180" 5.58822013747421 0.0977586717178774 0.00315355275720619 NA NA "+" "+" NA "+" NA 164 -529277.471432486 1058883.29863673 22254.2951001604 0
"48" 3.28557277731334 0.0977586717182882 0.00315355275720917 "+" 2.65993847408742 NA "+" NA NA NA 164 -529277.471432486 1058883.29863673 22254.2951001609 0
"60" 2.1462597494067 0.0977586717180289 0.00315355275720897 NA 2.6599384763553 "+" "+" NA NA NA 164 -529277.471432486 1058883.29863673 22254.2951001609 0
"64" 1.40098261396822 0.0977586717182203 0.00315355275720921 "+" 2.65993847467223 "+" "+" NA NA NA 164 -529277.471432486 1058883.29863673 22254.2951001609 0
"176" 3.28557277731334 0.0977586717182882 0.00315355275720917 "+" 2.65993847408742 NA "+" NA "+" NA 164 -529277.471432486 1058883.29863673 22254.2951001609 0
"188" 2.1462597494067 0.0977586717180289 0.00315355275720897 NA 2.6599384763553 "+" "+" NA "+" NA 164 -529277.471432486 1058883.29863673 22254.2951001609 0
"192" 1.40098261396822 0.0977586717182203 0.00315355275720921 "+" 2.65993847467223 "+" "+" NA "+" NA 164 -529277.471432486 1058883.29863673 22254.2951001609 0
"326" 3437.7860401807 0.193528028377665 NA "+" NA NA NA "+" NA -1.69981319584336 19 -529499.255904445 1059036.51680019 22407.5132636181 0
"332" 3462.51646995027 0.175203139173934 0.00259253390603453 NA 0.477749587063746 NA NA "+" NA -1.71188108218126 10 -529558.143055317 1059136.2875554 22507.2840188281 0
"264" 3342.51758904764 0.193390812485469 0.00327878273495786 "+" NA NA NA NA NA -1.65327886644452 16 -529666.487258929 1059364.97809051 22735.974553935 0
"103" 12.4256870507077 NA 0.00320272398465237 "+" NA NA "+" "+" NA NA 167 -529535.119502341 1059404.60787864 22775.6043420704 0
"119" 6.82904562345974 NA 0.00320272398465216 "+" NA "+" "+" "+" NA NA 167 -529535.119502341 1059404.60787864 22775.6043420704 0
"231" 12.4256870507077 NA 0.00320272398465237 "+" NA NA "+" "+" "+" NA 167 -529535.119502341 1059404.60787864 22775.6043420704 0
"247" 6.82904562345974 NA 0.00320272398465216 "+" NA "+" "+" "+" "+" NA 167 -529535.119502341 1059404.60787864 22775.6043420704 0
"115" 7.17858067447411 NA 0.00320272398465414 NA NA "+" "+" "+" NA NA 167 -529535.119502341 1059404.60787864 22775.6043420709 0
"243" 7.17858067447411 NA 0.00320272398465414 NA NA "+" "+" "+" "+" NA 167 -529535.119502341 1059404.60787864 22775.6043420709 0
"99" 7.17858067447254 NA 0.00320272398465465 NA NA NA "+" "+" NA NA 167 -529535.119502342 1059404.60787864 22775.6043420713 0
"107" 3.87662528454612 NA 0.00320272398465608 NA 2.55174295997645 NA "+" "+" NA NA 167 -529535.119502342 1059404.60787864 22775.6043420713 0
"227" 7.17858067447254 NA 0.00320272398465465 NA NA NA "+" "+" "+" NA 167 -529535.119502342 1059404.60787864 22775.6043420713 0
"235" 3.87662528454612 NA 0.00320272398465608 NA 2.55174295997645 NA "+" "+" "+" NA 167 -529535.119502342 1059404.60787864 22775.6043420713 0
"123" 3.87662528581655 NA 0.00320272398465598 NA 2.55174295907053 "+" "+" "+" NA NA 167 -529535.119502342 1059404.60787864 22775.604342072 0
"251" 3.87662528581655 NA 0.00320272398465598 NA 2.55174295907053 "+" "+" "+" "+" NA 167 -529535.119502342 1059404.60787864 22775.604342072 0
"111" 5.40839393340429 NA 0.00320272398465921 "+" 2.55174295175195 NA "+" "+" NA NA 167 -529535.119502342 1059404.60787864 22775.604342073 0
"127" 3.96088654691787 NA 0.00320272398465832 "+" 2.5517429516968 "+" "+" "+" NA NA 167 -529535.119502342 1059404.60787864 22775.604342073 0
"239" 5.40839393340429 NA 0.00320272398465921 "+" 2.55174295175195 NA "+" "+" "+" NA 167 -529535.119502342 1059404.60787864 22775.604342073 0
"255" 3.96088654691787 NA 0.00320272398465832 "+" 2.5517429516968 "+" "+" "+" "+" NA 167 -529535.119502342 1059404.60787864 22775.604342073 0
"388" 3464.47658091517 0.223402059462898 0.00317253371863364 NA NA NA NA NA "+" -1.71589698610158 31 -529743.083418797 1059548.17986854 22919.176331966 0
"106" 3.53331370928345 0.100800535828727 NA NA 2.57996480181623 NA "+" "+" NA NA 167 -529630.27013299 1059594.90913994 22965.9056033683 0
"114" 6.87178816281942 0.100800535828572 NA NA NA "+" "+" "+" NA NA 167 -529630.27013299 1059594.90913994 22965.9056033683 0
"234" 3.53331370928345 0.100800535828727 NA NA 2.57996480181623 NA "+" "+" "+" NA 167 -529630.27013299 1059594.90913994 22965.9056033683 0
"242" 6.87178816281942 0.100800535828572 NA NA NA "+" "+" "+" "+" NA 167 -529630.27013299 1059594.90913994 22965.9056033683 0
"98" 6.87178816282176 0.100800535828453 NA NA NA NA "+" "+" NA NA 167 -529630.27013299 1059594.90913994 22965.9056033688 0
"110" 4.77979832995769 0.100800535828743 NA "+" 2.57996480393527 NA "+" "+" NA NA 167 -529630.27013299 1059594.90913994 22965.9056033688 0
"122" 3.53331371183882 0.100800535828624 NA NA 2.57996479999259 "+" "+" "+" NA NA 167 -529630.27013299 1059594.90913994 22965.9056033688 0
"226" 6.87178816282176 0.100800535828453 NA NA NA NA "+" "+" "+" NA 167 -529630.27013299 1059594.90913994 22965.9056033688 0
"238" 4.77979832995769 0.100800535828743 NA "+" 2.57996480393527 NA "+" "+" "+" NA 167 -529630.27013299 1059594.90913994 22965.9056033688 0
"250" 3.53331371183882 0.100800535828624 NA NA 2.57996479999259 "+" "+" "+" "+" NA 167 -529630.27013299 1059594.90913994 22965.9056033688 0
"102" 11.8747015407683 0.100800535828724 NA "+" NA NA "+" "+" NA NA 167 -529630.270132991 1059594.90913994 22965.9056033692 0
"126" 3.42938104734769 0.100800535828768 NA "+" 2.57996480360933 "+" "+" "+" NA NA 167 -529630.270132991 1059594.90913994 22965.9056033692 0
"230" 11.8747015407683 0.100800535828724 NA "+" NA NA "+" "+" "+" NA 167 -529630.270132991 1059594.90913994 22965.9056033692 0
"254" 3.42938104734769 0.100800535828768 NA "+" 2.57996480360933 "+" "+" "+" "+" NA 167 -529630.270132991 1059594.90913994 22965.9056033692 0
"118" 6.32926148677897 0.100800535828777 NA "+" NA "+" "+" "+" NA NA 167 -529630.270132991 1059594.90913994 22965.9056033699 0
"246" 6.32926148677897 0.100800535828777 NA "+" NA "+" "+" "+" "+" NA 167 -529630.270132991 1059594.90913994 22965.9056033699 0
"39" 11.2186392390859 NA 0.0032149214827311 "+" NA NA "+" NA NA NA 163 -529653.997946583 1059634.34735023 23005.3438136594 0
"55" 4.9595366779017 NA 0.00321492148273079 "+" NA "+" "+" NA NA NA 163 -529653.997946583 1059634.34735023 23005.3438136594 0
"167" 11.2186392390859 NA 0.0032149214827311 "+" NA NA "+" NA "+" NA 163 -529653.997946583 1059634.34735023 23005.3438136594 0
"183" 4.9595366779017 NA 0.00321492148273079 "+" NA "+" "+" NA "+" NA 163 -529653.997946583 1059634.34735023 23005.3438136594 0
"35" 5.94893804635991 NA 0.00321492148273342 NA NA NA "+" NA NA NA 163 -529653.997946584 1059634.34735023 23005.3438136606 0
"51" 5.94893804636159 NA 0.00321492148273291 NA NA "+" "+" NA NA NA 163 -529653.997946584 1059634.34735023 23005.3438136606 0
"163" 5.94893804635991 NA 0.00321492148273342 NA NA NA "+" NA "+" NA 163 -529653.997946584 1059634.34735023 23005.3438136606 0
"179" 5.94893804636159 NA 0.00321492148273291 NA NA "+" "+" NA "+" NA 163 -529653.997946584 1059634.34735023 23005.3438136606 0
"43" 2.49117329673608 NA 0.00321492148273492 NA 2.67215204784347 NA "+" NA NA NA 163 -529653.997946584 1059634.34735023 23005.343813661 0
"171" 2.49117329673608 NA 0.00321492148273492 NA 2.67215204784347 NA "+" NA "+" NA 163 -529653.997946584 1059634.34735023 23005.343813661 0
"59" 2.49117329792855 NA 0.00321492148273481 NA 2.67215204699341 "+" "+" NA NA NA 163 -529653.997946584 1059634.34735023 23005.3438136617 0
"187" 2.49117329792855 NA 0.00321492148273481 NA 2.67215204699341 "+" "+" NA "+" NA 163 -529653.997946584 1059634.34735023 23005.3438136617 0
"47" 3.87022113034542 NA 0.00321492148273825 "+" 2.6721520395473 NA "+" NA NA NA 163 -529653.997946585 1059634.34735023 23005.3438136627 0
"63" 1.9560377865788 NA 0.00321492148273722 "+" 2.6721520395802 "+" "+" NA NA NA 163 -529653.997946585 1059634.34735023 23005.3438136627 0
"175" 3.87022113034542 NA 0.00321492148273825 "+" 2.6721520395473 NA "+" NA "+" NA 163 -529653.997946585 1059634.34735023 23005.3438136627 0
"191" 1.9560377865788 NA 0.00321492148273722 "+" 2.6721520395802 "+" "+" NA "+" NA 163 -529653.997946585 1059634.34735023 23005.3438136627 0
"330" 3487.72383784435 0.177041948296312 NA NA 0.488318471780844 NA NA "+" NA -1.72438787492228 9 -529880.952829025 1059779.90684012 23150.903303552 0
"34" 5.5987046797213 0.100181474185673 NA NA NA NA "+" NA NA NA 163 -529756.672952975 1059839.69736301 23210.6938264433 0
"42" 2.12765928326403 0.100181474185954 NA NA 2.68241529866512 NA "+" NA NA NA 163 -529756.672952975 1059839.69736301 23210.6938264433 0
"46" 3.25034980859618 0.100181474185996 NA "+" 2.68241530015064 NA "+" NA NA NA 163 -529756.672952975 1059839.69736301 23210.6938264433 0
"50" 5.59870467971917 0.100181474185792 NA NA NA "+" "+" NA NA NA 163 -529756.672952975 1059839.69736301 23210.6938264433 0
"58" 2.1276592857963 0.100181474185849 NA NA 2.68241529685823 "+" "+" NA NA NA 163 -529756.672952975 1059839.69736301 23210.6938264433 0
"162" 5.5987046797213 0.100181474185673 NA NA NA NA "+" NA "+" NA 163 -529756.672952975 1059839.69736301 23210.6938264433 0
"170" 2.12765928326403 0.100181474185954 NA NA 2.68241529866512 NA "+" NA "+" NA 163 -529756.672952975 1059839.69736301 23210.6938264433 0
"174" 3.25034980859618 0.100181474185996 NA "+" 2.68241530015064 NA "+" NA "+" NA 163 -529756.672952975 1059839.69736301 23210.6938264433 0
"178" 5.59870467971917 0.100181474185792 NA NA NA "+" "+" NA "+" NA 163 -529756.672952975 1059839.69736301 23210.6938264433 0
"186" 2.1276592857963 0.100181474185849 NA NA 2.68241529685823 "+" "+" NA "+" NA 163 -529756.672952975 1059839.69736301 23210.6938264433 0
"38" 10.6269918839988 0.100181474185976 NA "+" NA NA "+" NA NA NA 163 -529756.672952975 1059839.69736301 23210.6938264437 0
"62" 1.38090036115075 0.100181474186029 NA "+" 2.68241529993977 "+" "+" NA NA NA 163 -529756.672952975 1059839.69736301 23210.6938264437 0
"166" 10.6269918839988 0.100181474185976 NA "+" NA NA "+" NA "+" NA 163 -529756.672952975 1059839.69736301 23210.6938264437 0
"190" 1.38090036115075 0.100181474186029 NA "+" 2.68241529993977 "+" "+" NA "+" NA 163 -529756.672952975 1059839.69736301 23210.6938264437 0
"54" 4.39593515839877 0.100181474186037 NA "+" NA "+" "+" NA NA NA 163 -529756.672952976 1059839.69736302 23210.6938264444 0
"182" 4.39593515839877 0.100181474186037 NA "+" NA "+" "+" NA "+" NA 163 -529756.672952976 1059839.69736302 23210.6938264444 0
"451" 3412.48649321657 NA 0.00328832283801907 NA NA NA NA "+" "+" -1.6882315960878 34 -530022.092503263 1060112.20063871 23483.1971021397 0
"109" 5.40511143393308 NA NA "+" 2.57577059277216 NA "+" "+" NA NA 166 -530027.858839048 1060388.0821583 23759.0786217321 0
"125" 3.98466825920757 NA NA "+" 2.57577060157981 "+" "+" "+" NA NA 166 -530027.858839048 1060388.0821583 23759.0786217321 0
"237" 5.40511143393308 NA NA "+" 2.57577059277216 NA "+" "+" "+" NA 166 -530027.858839048 1060388.0821583 23759.0786217321 0
"253" 3.98466825920757 NA NA "+" 2.57577060157981 "+" "+" "+" "+" NA 166 -530027.858839048 1060388.0821583 23759.0786217321 0
"113" 7.21908484553317 NA NA NA NA "+" "+" "+" NA NA 166 -530027.858839049 1060388.0821583 23759.0786217337 0
"121" 3.88603769927054 NA NA NA 2.57577059160986 "+" "+" "+" NA NA 166 -530027.858839049 1060388.0821583 23759.0786217337 0
"241" 7.21908484553317 NA NA NA NA "+" "+" "+" "+" NA 166 -530027.858839049 1060388.0821583 23759.0786217337 0
"249" 3.88603769927054 NA NA NA 2.57577059160986 "+" "+" "+" "+" NA 166 -530027.858839049 1060388.0821583 23759.0786217337 0
"97" 7.21908484550164 NA NA NA NA NA "+" "+" NA NA 166 -530027.85883905 1060388.08215831 23759.0786217344 0
"101" 12.4884805640793 NA NA "+" NA NA "+" "+" NA NA 166 -530027.85883905 1060388.08215831 23759.0786217344 0
"105" 3.88603770335153 NA NA NA 2.57577058868856 NA "+" "+" NA NA 166 -530027.85883905 1060388.08215831 23759.0786217344 0
"225" 7.21908484550164 NA NA NA NA NA "+" "+" "+" NA 166 -530027.85883905 1060388.08215831 23759.0786217344 0
"229" 12.4884805640793 NA NA "+" NA NA "+" "+" "+" NA 166 -530027.85883905 1060388.08215831 23759.0786217344 0
"233" 3.88603770335153 NA NA NA 2.57577058868856 NA "+" "+" "+" NA 166 -530027.85883905 1060388.08215831 23759.0786217344 0
"117" 6.87983441721893 NA NA "+" NA "+" "+" "+" NA NA 166 -530027.858839051 1060388.08215831 23759.078621737 0
"245" 6.87983441721893 NA NA "+" NA "+" "+" "+" "+" NA 166 -530027.858839051 1060388.08215831 23759.078621737 0
"262" 3374.71315643709 0.197399289509961 NA "+" NA NA NA NA NA -1.66924218264463 15 -530184.407705985 1060398.81856429 23769.8150277147 0
"386" 3497.19007672741 0.227094161855904 NA NA NA NA NA NA "+" -1.73212228569944 30 -530227.200956015 1060514.41412846 23885.4105918868 0
"45" 3.84907408735912 NA NA "+" 2.69538607284751 NA "+" NA NA NA 162 -530149.760087377 1060623.86734347 23994.8638069029 0
"61" 1.94958550092913 NA NA "+" 2.69538608129188 "+" "+" NA NA NA 162 -530149.760087377 1060623.86734347 23994.8638069029 0
"173" 3.84907408735912 NA NA "+" 2.69538607284751 NA "+" NA "+" NA 162 -530149.760087377 1060623.86734347 23994.8638069029 0
"189" 1.94958550092913 NA NA "+" 2.69538608129188 "+" "+" NA "+" NA 162 -530149.760087377 1060623.86734347 23994.8638069029 0
